Date,SP500,BTU,MRNA,ACH,BX,CCJ,ASML,HNP,HCC,SE,HCA,MS,DHR,CARR,GOOG,AQUA,URE,GRMN,TRI
2020-10-05,-9.399957266885362,-68.76644535670341,38.01784722778726,-30.31853795099343,-17.575152438842494,-17.49629305636001,0.6911875167865338,-24.708714102281263,-19.51889364964801,89.76402066933254,-12.104603949597418,-15.711642710152452,10.045480431408766,,-11.583553782765128,5.821761677026222,-26.83555884006231,-13.367025696508753,-7.419977306854894
2020-10-12,-9.5719384398315,-73.94041985937659,36.03641521087238,-29.74054828982383,-16.16442994783146,-21.6287744683696,-0.6885080930964129,-24.89812263780525,-25.62408110704445,75.94777352353985,-11.452816142090407,-10.772719972933782,9.457739494044427,,-8.720848500011373,7.831724072749219,-29.784133026025117,-13.298332081115644,-7.455691509781519
2020-10-19,-8.731083308408984,-73.8603891522106,28.909108119463284,-24.2384695344149,-16.60658674828081,-16.209421793063502,-1.8650500512790744,-25.13902273295077,-25.555909054444687,71.00564338281674,-8.932422931001945,-9.309042208774136,12.629978106732146,,-3.5940475694032767,4.572114280215871,-29.264363446937697,-10.379732381266276,-7.19070495633793
2020-10-26,-8.487349299623878,-76.36442796442321,28.389694523075526,-23.83959801153099,-18.11590992282144,-12.985936375958717,-0.9528843370159228,-21.356449459470873,-20.108468632208755,70.91952841518625,-11.892873726707991,-10.422229355755663,17.041427538342987,,0.8942123848803246,7.3086448702828255,-30.57612886112419,-1.8235311188032792,-6.417690877605171
2020-11-02,-9.519863366008007,-79.50750106364556,24.571238028599897,-23.31105106508969,-16.641764694688106,-21.262148329463088,2.005999478495231,-24.406979646500318,-16.90922290315491,80.86109839945577,-9.0213908200878,-11.254554189099327,14.324212335576455,,0.6403201292880992,3.7365896298604264,-29.490382083022133,0.08436660329444766,-3.8775643355384473
2020-11-09,-6.712804048048304,-80.67889521529715,51.33145313940675,-11.820099322487323,-15.012835905389485,-17.686933687523503,5.677745875441256,-20.62652697397819,-12.944616878700444,72.26980241891522,-0.5637330248066402,-1.914342602801345,9.549385568090758,,2.083636444713877,17.99810007954653,-19.390036633687625,1.340618325706972,-7.317208675104318
2020-11-16,-7.270245419418261,-77.52552947200158,60.99108819251794,-3.122884711737559,-11.028743999842867,-14.725583013360177,6.240428225559906,-21.25727062112611,-16.134010509543597,69.26669318400425,-1.7156012271067493,0.30825536398154024,4.934579835023295,,-0.026556514086680763,9.642654198468488,-20.60108058952025,0.4349387938336753,-9.847265279062258
2020-11-23,-7.5203706296868456,-68.29820659458302,97.11248712833076,20.210004288532556,-10.43610561791098,-15.310096378403312,6.471035232574092,-21.37983258915103,-8.312417808440296,60.12769231689703,-0.23945701056252489,7.818067740074159,-2.2175283576052083,,0.04257957165567469,14.232183590219122,-22.08262709837173,0.054499405289048966,-12.975769966081154
2020-11-30,-7.556888089875452,-73.95727708398692,123.28873481921498,17.28935677775699,-9.688952013408256,-9.221839212362182,10.318286507646977,-25.497340925683105,-9.831909398999535,66.61909185847215,1.273025891324739,7.707845773776237,-0.9613501241091094,,-0.06801164164890589,0.2954939388014452,-20.104872759639797,1.8523481903951218,-12.686440693877115
2020-12-07,-7.4415946721825925,-57.97070677285486,122.80121811063825,14.783421098777222,-6.053641560264186,9.856890859895236,8.0426711829237,-30.70026231658546,-2.7808188365777062,59.471769456428255,2.5392740528456397,5.899685303446618,-0.6929600299897729,,-1.8328587571448636,-1.5181086854755974,-22.322662354757853,0.8148404017500537,-12.396410941193114
2020-12-14,-8.668965773293477,-54.71562007571388,87.33546665782416,17.91876066040604,-7.364771700134194,6.668977726268031,10.257636042000927,-31.153745879416572,-6.623998856215299,56.73690363208186,4.368809611704029,4.4376780115627765,-2.6858162738125637,,-7.262592131540109,2.333282039638475,-22.234970276926244,-1.4156484973471595,-14.641414799654036
2020-12-21,-8.793583934259768,-61.34054231142324,60.086902836418055,9.643217730436476,-6.7490453696508315,7.513969191946628,10.82465395264852,-31.404723888752173,-1.907647085162998,47.379106952294116,4.466112491221137,10.545509013417732,-5.04704936390307,,-6.9457909933178685,9.042045157479278,-21.503204191429354,-0.9672755813201166,-14.788903646940184
2020-12-28,-7.719805129305814,-43.83663006069269,32.06814876048908,10.646974087652383,-7.117707947333979,5.588878498990808,10.778458703956039,-28.040921777456074,5.506637659025206,47.68525370518752,4.446048184964431,10.911235435653149,-5.372092548526405,,-6.577829016323255,7.39894250251119,-18.214252022510532,-1.7975127677200164,-13.504842175109294
2021-01-04,-7.893182175949548,-24.434196865465935,36.36121496293703,21.450702846704868,-11.370302237474956,9.679133551497083,12.36133787630362,-25.66037866991506,11.046435477070768,49.072174564585715,7.225174592029242,18.970827339863682,1.1441834342493724,,-5.6504679630168875,15.60126804016782,-22.81839400467531,-1.9711340953698413,-16.32506382444861
2021-01-11,-7.463328846954178,-2.6939659024152602,55.41701565743439,10.284838964353971,-8.727648426551012,0.6524246237290725,17.64848051262178,-23.232600922676,13.998218603702298,59.14354469870155,7.069200203648625,20.77809329661184,-0.18548437647926674,,-7.644436695602728,18.315877622697364,-17.960550435198375,-0.9582592003441831,-14.54637994864714
