Date,SP500,IWM,TLT,XLU,XLRE,SMH,XLK,ARKG,ARKK,ARKQ,CLOU,WCLD,PRNT,HERO,GAMR,XLC,XLF,XLY,XLP,XLV,XBI,XHB,XLI,JETS,XRT,MSOS,CGC,TAN,XLE,XOP,KRBN,XME,XLB,FCX,REMX,WOOD,PSLV,GDX,GLD,CORN,WEAT,SOYB,NIB,EEM,CHIQ,ERUS,INDA,EWY,EWJ,GBTC,ETHE,LTCN,BITW,MSTR,RIOT,MARA
2021-01-25,-8.539786313331419,7.452055663533683,-26.205635565667674,-18.371885944226875,-17.617128167758626,9.914259479660272,-3.964834764375178,39.42916510279383,35.10989556855527,31.847125903904494,2.004098403264817,11.096285514988537,34.26389696827285,8.620984407236007,40.64028170413866,-6.644735064000619,-7.760227623764031,-4.222441771959357,-18.11114790526534,-11.770946680352063,10.189922759046375,2.020438606586262,-9.097858772400498,-5.8801032801626425,47.282129747064914,,67.9014088883072,62.71115067758279,-14.581519946956458,-0.18150365399986473,,8.343641015809721,-6.487716192825984,47.66467823668784,43.00700751345904,2.33810219903326,1.684064147882262,-21.678838097366167,-19.221863585883302,0.9710051887262794,-10.912962790766908,3.4319714421539285,-17.75449669806427,-1.131594035533368,23.021734930744657,-15.31894429280762,-2.655137534600562,11.491779046812418,-7.185565751091909,93.80986028803297,9.812406008839455,,,169.94939996583932,264.37888916618687,399.55498345766216
2021-02-01,-9.319299150230535,9.511048779470253,-31.79430249529318,-20.463618053267172,-19.015180620586676,7.374007411665582,-4.805409528285403,38.51428522585912,36.95357622864654,34.83487241973568,3.0844191639672744,13.743305660392316,44.45138739196298,9.843781484894718,10.708538398295428,-5.729902424440526,-6.392230251978102,-3.77846751145912,-20.206811589645586,-15.89664078351595,12.992714994846313,1.754103652712732,-9.397289346404694,-2.582721809029785,23.99463423408353,,68.18775730126767,62.140805386405006,-11.487207652428618,3.666320738529231,,9.266315765807535,-7.863754754525953,61.820596244119194,37.8898028151959,1.5873885076409855,-2.9592520433517087,-25.595107718835564,-24.678521805987046,-3.9135016394549758,-16.830739603646357,-1.707212693223545,-19.030548549439807,-1.3905783388704989,23.35304403811885,-14.510243749417118,-0.5906910578139667,10.747350866114186,-9.193011616418275,95.56356475557793,37.22842115876664,,,217.07134914587257,265.49649444126277,367.0430577205411
2021-02-08,-9.372335372461885,10.522416372278258,-32.70743229916274,-22.247121591264783,-18.731295513406778,13.853000059789352,-4.069092951129716,38.13156927346735,39.295552799607144,36.22623021910684,2.300803982717071,14.381086029084312,47.390203398645795,13.791720113991007,12.696386971639242,-5.006890601931417,-5.414781648279398,-6.251593470861453,-21.084749051212846,-15.75035875087503,9.181210732419522,2.4729067995547642,-9.078703252083127,-0.8178670126277031,23.1451920290056,,54.12633701975123,62.983695676980645,-7.548440210932898,10.914005596164207,,10.766107477517481,-8.14883491627542,54.27211251799484,48.956334104155715,4.6429256325580095,-3.4158984039461813,-26.23774645101282,-25.09316009521018,-6.372570640596262,-18.17081261585648,-2.4259149268115827,-20.94402585107957,-0.06952660262564221,27.343446911126573,-13.634027779102576,0.03557285387956897,10.108460967244802,-7.3969969638835025,140.24856455530653,39.66472621629649,,,276.34824067546333,561.0080825349536,581.1956057181799
2021-02-15,-8.1990612222254,11.353032635845846,-32.62761200295718,-21.602008173657474,-17.17670664661039,14.925634386108507,-4.222123512765758,33.081172765280826,36.24433991081635,33.73647563015629,2.1979276388688476,14.26939545594369,38.73005981870701,12.11880275009101,9.456140602568352,-3.974908904306145,-0.654106057425728,-4.981027532770974,-20.067463354405756,-15.978355614645293,7.184073937447014,3.2290038337650997,-6.432579731482958,7.127685357683211,23.151958189686596,,48.4515344061338,48.93147067527099,-1.969924569968742,15.733686287358692,,15.539211458680743,-5.520394092037208,84.03876771347069,59.88305166963441,5.41411559993523,-1.808560325935196,-29.004080364443023,-24.952497579317615,-2.6539524030712665,-14.445166573311472,0.7146334209952069,-18.70439166482861,1.3112765787861709,26.31669475615223,-12.48069825221539,1.2973263915862052,10.588403000471493,-5.857342513847136,172.19661784727566,53.05292892920402,,,237.69304182122553,717.6398754603028,576.7249064881486
2021-02-22,-5.472806842443641,13.318439556573464,-28.405579860791764,-20.830296741544284,-13.748973362682634,14.27108299785848,-3.089911759908469,20.353325574206597,21.06804579461014,23.745604781297086,-1.65138451816979,6.163925518209373,29.147037595914227,6.443686955960949,11.49785343113317,-0.11617992652710842,4.585316838011685,-4.943635056745197,-17.383014996766242,-12.493476777033774,4.55584920755037,4.479150863882509,-1.6794605556536297,18.997430501706557,28.671495132874025,,30.83723975387886,41.20665575059961,7.774787493430749,25.704242829716605,,18.482997939467076,-2.5085962266494213,71.30474642262892,52.17371097497864,7.128621370728948,3.0155950117038746,-28.98234102584174,-22.96008301141954,4.56165141118669,-9.512565349549707,8.120208578336959,-8.022045093136771,-0.23650984314839682,16.224637164895324,-10.563784648295984,2.62375183506704,9.769851381148593,-5.074957128100925,111.157236614359,9.407469321857151,,,165.50852660119307,378.25894285165225,352.5275154967749
2021-03-01,-2.4610400398414383,15.055168272336758,-27.864823077313282,-16.638171692384162,-12.526521756726911,10.37329936261342,-2.289011413647988,10.894379033052362,10.056097986799276,17.213653674025018,-5.493781367307236,-1.3225857653440516,19.73659836590836,4.254522044173586,14.481749975537467,4.617749308401,11.548901316324057,-5.456752211153717,-13.082804465992734,-9.816323192105983,-0.02857770119648604,8.079253617012288,3.598444244300304,19.39265700590613,34.096977580783765,,26.226623166443513,22.921131952137618,20.773634650753966,42.211206250023956,,27.345757890972944,1.9574444066542858,76.15908334342876,42.241063445524105,10.999751872769275,-2.982122621925806,-25.736295244833563,-21.844773309242854,8.521232690397495,-6.496613170220583,12.928876664594135,-7.394612276540602,2.2512924201637774,13.082066389369817,-4.541294366900371,8.810821933030063,13.038875120113683,-2.702515471354744,112.11029877245848,11.741116423058816,,,117.30741403834135,313.9068858761616,322.59012186934194
2021-03-08,-2.6181288126920585,19.330037964384438,-30.33031311399515,-14.597443721943698,-9.424109042477612,7.774183159159678,-3.2976327594031565,14.931851147512068,14.493708345453562,20.693075990443052,-4.367327617352338,-0.3987403432154076,26.132531548883414,1.8352148459155022,25.503755197991833,3.3390876278800885,11.785509055911204,-2.3917934316509317,-13.148527882026388,-10.798541973074759,2.213657075690342,9.238804271495928,4.245370804318669,24.67554542201275,48.3722186571489,,33.470910816349445,30.729231290283604,18.34973755272413,37.21262582137747,,33.611339374883435,3.3335182725258607,77.99530268858534,42.34468059348873,10.423031668735494,-2.1464754766814464,-24.670272651068526,-22.26469965983589,4.4228434318095555,-10.150974454127223,9.24250824210513,-7.961649176795689,-0.3305896033803303,10.488153507304467,-3.098565088346692,6.201469608805858,8.237239751096466,-4.00657965203217,126.97086665090876,22.383418020331373,,,156.0788653304735,457.52363500582555,401.0917060273149
2021-03-15,-2.333713296079823,16.37820303219701,-29.233063693766837,-13.480037978215398,-9.028745726573074,9.601088724053607,-3.7513922435589806,13.593792478529911,10.452423228872377,18.719995597688687,-6.1803871165604205,-3.6105632701504917,23.55853914780033,1.9395951920583958,19.007960355300728,5.165296650399704,10.958845980012677,-1.8173163083134054,-11.386690708868237,-9.146696235374783,1.8542298606349177,12.645032337559394,4.847639167834044,26.69587182192292,42.20973222030064,,34.37963192059452,19.788550298602015,10.484298235031215,27.245882719282104,,28.211696599463526,3.193850922423575,64.0324457271291,36.33428546556033,9.349299699820842,-1.308787585118321,-21.826168631129345,-19.942899334335937,5.265219428214999,-10.732228486038526,8.556640874233604,-10.44098675639742,0.8248151970008876,10.641828826074589,-4.549224879146985,5.859372100419951,9.930758064856239,-0.4334348301610928,133.82588721670018,24.211810865999535,,,146.46914704547237,390.7696386101348,383.5459369500102
2021-03-22,0.03910057545116954,13.542013256802289,-26.807988238199904,-10.332429552747598,-4.708877935630927,13.54415963764607,-0.829205357990506,5.52603407716823,2.773176464481527,13.69499024078498,-6.630268370818198,-5.902445380030312,20.520445536726072,0.9120877379173432,19.15986092617281,1.4796472293001142,12.33633539611844,-1.4085848070453,-7.292031535887884,-6.53777443028105,-6.01571538058862,17.25520112604062,7.5641139266857325,20.899684309715706,38.05643445974257,,25.171753336675796,17.035724654880877,13.361253824473017,26.692882849183253,,28.327758310918654,6.133160462081723,52.572093685123654,28.9399958607837,10.970192269906397,-4.730976159032094,-23.476613755435682,-19.225099955555883,5.659880579767416,-10.378186382000369,9.068065786743626,-10.696412728142397,0.03156469266663951,1.6770229444622455,-3.8765406573840733,6.546465780174099,10.611507774051598,-0.36272971484853217,100.18713935511438,12.87794101481273,,,93.86024851811983,264.8111528399287,277.5732031649755
2021-03-29,-1.159333442033241,11.860480495679267,-27.27637172928662,-11.158465421029437,-6.03395303073799,15.3467198764544,-1.2413040989824218,8.028711943140445,5.486673115998446,15.242620088325415,-6.046351577410096,-4.752380717709781,22.403468679856797,1.2966395840562266,18.737101842573132,2.067001991258456,9.839548878458581,-1.886473508998509,-9.805257311732273,-8.817848461034457,-5.589423634062383,14.7342533832175,5.320549795634796,19.023898754356374,34.24904990157302,,20.990045562465365,16.14507810024984,10.353061971239818,26.073731644943432,,25.669892319645314,3.154507149244068,49.51636182667008,29.751332353241366,8.774150972998882,-7.8869498651334675,-23.068173524711444,-20.742031506564164,6.2385033312725175,-12.104616314022396,8.243955214742753,-14.563659829342981,-1.3262584268501405,1.7791084721577537,-6.700623055783862,3.4067000760073256,9.378796370424672,-3.962072018573436,106.93839736103192,32.313877569745294,,,106.70307101353586,257.1943026445485,353.5594482218005
